0,1
4,14
14,24
24,34
34,44
44,54
54,64
64,74
74,84
84,94
94,95
95,85
85,75
75,65
65,55
55,45
45,35
35,25
25,15
15,5
5,6
6,16
16,26
26,36
36,46
46,56
56,66
66,76
76,86
86,96
96,97
97,87
87,77
77,67
67,57
57,47
47,37
37,27
27,17
17,7
7,8
8,18
18,28
28,38
38,48
48,58
58,68
68,78
78,88
88,98
98,99
99,89
89,79
79,69
69,59
59,49
49,39
39,29
29,19
19,9
94,93
93,83
83,73
73,63
63,53
53,43
43,33
33,23
23,13
13,3
3,2
2,12
12,22
22,32
32,42
42,52
52,62
62,72
72,82
82,92
92,91
91,81
81,71
71,61
61,51
51,41
41,31
31,21
21,11
11,1
1,0
0,10
10,20
20,30
30,40
40,50
50,60
60,70
70,80
80,90
